                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 0.9881,                 0.5447,                 1.0961,                0.85051,                0.84636,                0.88607,                  0.528,                 1.2151,                0.67907,                 1.2761,              0.0013479,              0.0013479,              0.0013479
                     60,                 1.0358,                0.54728,                 1.0985,                0.85476,                0.80815,                0.87711,                0.51043,                 1.2508,                0.64117,                 1.3064,              0.0013424,              0.0013424,              0.0013424
                     61,                 1.0035,                0.55973,                 1.0907,                0.82422,                0.84835,                0.88972,                0.52678,                 1.1735,                0.63689,                 1.2745,              0.0013369,              0.0013369,              0.0013369
                     62,                 1.0146,                0.54851,                 1.0989,                0.88091,                0.87459,                0.91403,                0.54609,                  1.136,                0.58131,                 1.2421,              0.0013314,              0.0013314,              0.0013314
                     63,                 1.0102,                0.55499,                 1.1021,                0.91047,                0.87306,                0.92662,                 0.5597,                 1.1609,                0.57695,                 1.2503,              0.0013259,              0.0013259,              0.0013259
                     64,                 1.0142,                0.56254,                  1.099,                0.87095,                0.84047,                0.89291,                 0.5394,                 1.1912,                0.63849,                  1.283,              0.0013204,              0.0013204,              0.0013204
                     65,                 1.0109,                0.56356,                 1.0922,                0.87427,                0.80127,                0.88859,                0.51449,                 1.3556,                0.67671,                 1.3767,              0.0013149,              0.0013149,              0.0013149
                     66,                0.96376,                0.53179,                 1.0944,                0.90862,                0.81496,                0.89614,                0.54604,                  1.258,                0.72657,                  1.323,              0.0013094,              0.0013094,              0.0013094
                     67,                0.97165,                0.52453,                 1.0812,                 0.9155,                0.82239,                0.90321,                0.54655,                 1.2551,                0.69955,                 1.3135,              0.0013039,              0.0013039,              0.0013039
                     68,                0.95497,                0.53012,                 1.0884,                0.92617,                0.84221,                0.91452,                0.55688,                 1.2308,                0.66373,                 1.2741,              0.0012984,              0.0012984,              0.0012984
                     69,                0.92051,                0.50622,                  1.064,                0.91672,                0.84352,                0.92447,                0.57933,                 1.1911,                0.61814,                 1.2545,              0.0012929,              0.0012929,              0.0012929
                     70,                0.95711,                0.52501,                 1.0817,                0.89348,                0.85862,                0.91603,                0.56591,                 1.2082,                0.59639,                 1.2596,              0.0012874,              0.0012874,              0.0012874
                     71,                0.96387,                0.53313,                  1.082,                0.91312,                0.85992,                0.92022,                0.56895,                 1.2876,                0.60144,                  1.314,              0.0012819,              0.0012819,              0.0012819
                     72,                0.96903,                0.53735,                 1.0928,                0.91214,                0.85507,                0.91924,                0.58636,                 1.2253,                0.57977,                 1.2465,              0.0012764,              0.0012764,              0.0012764
                     73,                0.95502,                0.52434,                 1.0678,                0.90363,                0.86273,                0.92344,                0.58117,                 1.2121,                0.56194,                 1.2659,              0.0012709,              0.0012709,              0.0012709
                     74,                0.92146,                0.51559,                 1.0732,                0.91183,                0.86993,                0.92496,                0.58715,                 1.1037,                0.53822,                 1.2027,              0.0012654,              0.0012654,              0.0012654
                     75,                0.92333,                 0.4926,                 1.0516,                0.90515,                0.85652,                0.91533,                0.57374,                 1.1693,                 0.5733,                 1.2275,              0.0012599,              0.0012599,              0.0012599
                     76,                0.90383,                0.49822,                 1.0513,                0.91038,                0.86724,                0.92237,                 0.5847,                  1.174,                0.57074,                 1.2223,              0.0012544,              0.0012544,              0.0012544
                     77,                0.92181,                0.50012,                 1.0659,                0.90808,                0.84925,                0.91707,                0.58208,                 1.2057,                0.59626,                 1.2439,              0.0012489,              0.0012489,              0.0012489
                     78,                0.90661,                0.49967,                 1.0381,                0.94544,                0.84576,                0.92826,                0.58854,                 1.1638,                0.58626,                 1.2152,              0.0012434,              0.0012434,              0.0012434
                     79,                0.87916,                0.48399,                 1.0363,                0.93557,                0.86044,                0.92594,                0.60159,                 1.1044,                0.56945,                 1.1857,              0.0012379,              0.0012379,              0.0012379
                     80,                 0.8741,                0.48219,                 1.0377,                0.93413,                 0.8249,                0.90449,                0.55797,                 1.2149,                0.59991,                 1.2707,              0.0012324,              0.0012324,              0.0012324
                     81,                0.89283,                0.48795,                 1.0396,                0.92886,                0.80832,                0.89521,                0.55424,                 1.1325,                0.62563,                 1.2231,              0.0012269,              0.0012269,              0.0012269
                     82,                0.88327,                0.48255,                  1.053,                0.90854,                0.83943,                0.91561,                0.57745,                 1.1517,                0.63587,                 1.2277,              0.0012214,              0.0012214,              0.0012214
                     83,                0.88738,                0.47913,                 1.0449,                0.89526,                0.83921,                0.90795,                0.57787,                 1.1814,                0.70388,                 1.2462,              0.0012159,              0.0012159,              0.0012159
                     84,                0.89674,                0.47832,                 1.0314,                0.92006,                0.85352,                0.92309,                 0.5923,                 1.0622,                0.58259,                 1.1743,              0.0012104,              0.0012104,              0.0012104
